"regime","n","reps","method","coverage","cov_se","width"
"skew_hetero",50,400,"naive_cv",0.909,0.003,3.97
"skew_hetero",50,400,"split",0.917,0.003,5.33
"skew_hetero",50,400,"cvplus",0.921,0.003,4.3
"skew_hetero",100,400,"naive_cv",0.912,0.002,3.88
"skew_hetero",100,400,"split",0.926,0.002,4.61
"skew_hetero",100,400,"cvplus",0.907,0.002,3.77
"skew_hetero",200,300,"naive_cv",0.922,0.002,3.91
"skew_hetero",200,300,"split",0.904,0.002,3.7
"skew_hetero",200,300,"cvplus",0.902,0.002,3.51
"skew_hetero",400,200,"naive_cv",0.924,0.001,3.92
"skew_hetero",400,200,"split",0.898,0.002,3.52
"skew_hetero",400,200,"cvplus",0.901,0.002,3.44
"skew_hetero",800,120,"naive_cv",0.924,0.001,3.88
"skew_hetero",800,120,"split",0.899,0.002,3.43
"skew_hetero",800,120,"cvplus",0.902,0.002,3.44
"skew_hetero",1500,80,"naive_cv",0.924,0.001,3.89
"skew_hetero",1500,80,"split",0.901,0.001,3.44
"skew_hetero",1500,80,"cvplus",0.901,0.001,3.41
"clean",50,400,"naive_cv",0.9,0.003,3.18
"clean",50,400,"split",0.919,0.004,3.83
"clean",50,400,"cvplus",0.921,0.003,3.53
"clean",100,400,"naive_cv",0.9,0.002,3.13
"clean",100,400,"split",0.92,0.002,3.53
"clean",100,400,"cvplus",0.908,0.002,3.22
"clean",200,300,"naive_cv",0.897,0.002,3.1
"clean",200,300,"split",0.901,0.002,3.18
"clean",200,300,"cvplus",0.901,0.002,3.11
"clean",400,200,"naive_cv",0.901,0.002,3.08
"clean",400,200,"split",0.903,0.002,3.14
"clean",400,200,"cvplus",0.899,0.002,3.1
"clean",800,120,"naive_cv",0.901,0.001,3.08
"clean",800,120,"split",0.901,0.002,3.09
"clean",800,120,"cvplus",0.901,0.001,3.08
"clean",1500,80,"naive_cv",0.902,0.001,3.07
"clean",1500,80,"split",0.902,0.002,3.1
"clean",1500,80,"cvplus",0.902,0.001,3.08
